,用户,时间,数量,金额,月份
0,1,1997-01-01,1,11.77,1997-01-01
1,2,1997-01-12,1,12.0,1997-01-01
2,2,1997-01-12,5,77.0,1997-01-01
3,3,1997-01-02,2,20.76,1997-01-01
4,3,1997-03-30,2,20.76,1997-03-01
5,3,1997-04-02,2,19.54,1997-04-01
6,3,1997-11-15,5,57.45,1997-11-01
7,3,1997-11-25,4,20.96,1997-11-01
8,3,1998-05-28,1,16.99,1998-05-01
9,4,1997-01-01,2,29.33,1997-01-01
10,4,1997-01-18,2,29.73,1997-01-01
11,4,1997-08-02,1,14.96,1997-08-01
12,4,1997-12-12,2,26.48,1997-12-01
13,5,1997-01-01,2,29.33,1997-01-01
14,5,1997-01-14,1,13.97,1997-01-01
15,5,1997-02-04,3,38.9,1997-02-01
16,5,1997-04-11,3,45.55,1997-04-01
17,5,1997-05-31,3,38.71,1997-05-01
18,5,1997-06-16,2,26.14,1997-06-01
19,5,1997-07-22,2,28.14,1997-07-01
20,5,1997-09-15,3,40.47,1997-09-01
21,5,1997-12-08,4,46.46,1997-12-01
22,5,1997-12-12,3,40.47,1997-12-01
23,5,1998-01-03,3,37.47,1998-01-01
24,6,1997-01-01,1,20.99,1997-01-01
25,7,1997-01-01,2,28.74,1997-01-01
26,7,1997-10-11,7,97.43,1997-10-01
27,7,1998-03-22,9,138.5,1998-03-01
28,8,1997-01-01,1,9.77,1997-01-01
29,8,1997-02-13,1,13.97,1997-02-01
30,8,1997-06-17,3,45.29,1997-06-01
31,8,1997-07-03,2,36.76,1997-07-01
32,8,1997-11-16,1,2.99,1997-11-01
33,8,1997-11-16,7,50.43,1997-11-01
34,8,1997-12-25,1,13.99,1997-12-01
35,8,1998-03-29,2,24.46,1998-03-01
36,9,1997-01-01,2,23.54,1997-01-01
37,9,1997-05-13,2,30.33,1997-05-01
38,9,1998-06-08,2,41.98,1998-06-01
39,10,1997-01-21,3,39.31,1997-01-01
40,11,1997-01-01,1,13.49,1997-01-01
41,11,1997-01-28,1,19.3,1997-01-01
42,11,1997-03-17,1,12.77,1997-03-01
43,11,1998-02-20,1,12.99,1998-02-01
44,12,1997-01-01,4,57.06,1997-01-01
45,13,1997-01-01,4,72.94,1997-01-01
46,14,1997-01-01,2,29.92,1997-01-01
47,15,1997-01-01,4,52.87,1997-01-01
48,16,1997-01-01,1,9.77,1997-01-01
49,16,1997-07-13,2,31.6,1997-07-01
50,16,1997-07-26,4,28.51,1997-07-01
51,16,1997-09-10,1,9.99,1997-09-01
52,17,1997-01-01,5,73.22,1997-01-01
53,18,1997-01-04,1,14.96,1997-01-01
54,19,1997-01-01,10,163.35,1997-01-01
55,19,1997-06-10,1,11.77,1997-06-01
56,20,1997-01-01,27,363.6,1997-01-01
57,20,1997-01-18,19,289.41,1997-01-01
58,21,1997-01-01,3,63.34,1997-01-01
59,21,1997-01-13,1,11.77,1997-01-01
60,22,1997-01-01,1,14.37,1997-01-01
61,23,1997-01-01,2,24.74,1997-01-01
62,24,1997-01-01,3,47.28,1997-01-01
63,24,1998-01-20,1,10.49,1998-01-01
64,25,1997-01-01,2,24.96,1997-01-01
65,25,1997-07-18,1,13.9,1997-07-01
66,25,1997-08-17,1,12.25,1997-08-01
67,25,1997-10-24,1,12.99,1997-10-01
68,25,1998-04-17,1,12.99,1998-04-01
69,25,1998-05-25,1,10.49,1998-05-01
70,25,1998-06-03,3,24.97,1998-06-01
71,25,1998-06-08,2,24.98,1998-06-01
72,26,1997-01-01,3,42.72,1997-01-01
73,26,1997-01-26,3,59.97,1997-01-01
74,27,1997-01-07,6,83.41,1997-01-01
75,27,1997-01-12,4,52.46,1997-01-01
76,28,1997-01-01,3,39.51,1997-01-01
77,28,1997-01-27,2,25.74,1997-01-01
78,28,1997-03-08,2,25.74,1997-03-01
79,29,1997-01-01,3,46.72,1997-01-01
80,29,1997-02-06,3,67.31,1997-02-01
81,29,1997-03-09,3,41.1,1997-03-01
82,29,1997-04-05,3,44.52,1997-04-01
83,29,1997-04-20,1,13.97,1997-04-01
84,29,1997-05-04,2,26.14,1997-05-01
85,29,1997-05-30,1,32.45,1997-05-01
86,29,1997-07-13,2,37.65,1997-07-01
87,29,1997-07-13,2,26.74,1997-07-01
88,29,1997-09-06,1,14.79,1997-09-01
89,29,1997-11-02,3,35.97,1997-11-01
90,29,1998-04-26,4,48.45,1998-04-01
91,30,1997-01-01,1,14.37,1997-01-01
92,30,1997-02-14,1,13.97,1997-02-01
93,31,1997-01-01,4,59.06,1997-01-01
94,31,1998-04-07,4,42.89,1998-04-01
95,31,1998-04-09,3,38.06,1998-04-01
96,31,1998-05-25,3,37.04,1998-05-01
97,32,1997-01-01,3,49.97,1997-01-01
98,32,1997-01-24,1,16.36,1997-01-01
99,32,1998-03-11,1,11.88,1998-03-01
100,33,1997-01-01,3,41.69,1997-01-01
101,33,1997-01-21,2,29.92,1997-01-01
102,33,1997-02-16,5,73.42,1997-02-01
103,33,1997-05-02,2,40.74,1997-05-01
104,33,1997-05-14,3,54.25,1997-05-01
105,33,1997-06-01,1,14.96,1997-06-01
106,33,1997-06-04,2,30.13,1997-06-01
107,33,1997-08-29,2,35.69,1997-08-01
108,33,1997-09-06,1,11.77,1997-09-01
109,33,1997-10-02,3,45.47,1997-10-01
110,33,1997-10-03,2,34.98,1997-10-01
111,33,1997-10-05,3,54.97,1997-10-01
112,33,1997-10-13,5,69.45,1997-10-01
113,33,1997-10-19,3,48.97,1997-10-01
114,33,1997-10-31,4,54.46,1997-10-01
115,33,1997-11-06,5,66.45,1997-11-01
116,33,1997-11-09,3,67.47,1997-11-01
117,33,1997-11-10,1,13.99,1997-11-01
118,33,1997-11-18,1,14.49,1997-11-01
119,33,1997-11-23,4,55.96,1997-11-01
120,33,1997-11-25,3,36.97,1997-11-01
121,33,1998-01-13,3,36.97,1998-01-01
122,33,1998-02-27,3,34.47,1998-02-01
123,33,1998-03-05,4,35.35,1998-03-01
124,33,1998-03-13,2,42.48,1998-03-01
125,34,1997-01-01,2,23.14,1997-01-01
126,35,1997-01-01,2,26.73,1997-01-01
127,35,1997-09-27,1,15.49,1997-09-01
128,36,1997-01-01,3,37.91,1997-01-01
129,36,1997-02-03,1,11.77,1997-02-01
130,37,1997-01-29,2,31.26,1997-01-01
131,37,1997-03-06,2,29.13,1997-03-01
132,37,1997-06-28,1,13.97,1997-06-01
133,37,1997-08-16,1,14.37,1997-08-01
134,37,1997-11-02,3,39.47,1997-11-01
135,37,1998-05-13,2,27.48,1998-05-01
136,38,1997-01-01,1,12.49,1997-01-01
137,39,1997-01-01,3,33.33,1997-01-01
138,39,1997-03-13,4,50.68,1997-03-01
139,39,1997-05-14,2,28.93,1997-05-01
140,39,1998-03-05,4,49.55,1998-03-01
141,39,1998-03-11,2,58.96,1998-03-01
142,40,1997-01-01,2,28.34,1997-01-01
143,40,1997-03-08,1,13.97,1997-03-01
144,40,1997-05-03,1,15.96,1997-05-01
145,40,1997-08-30,1,14.96,1997-08-01
146,40,1997-09-14,3,44.47,1997-09-01
147,40,1997-09-14,1,13.99,1997-09-01
148,40,1997-09-14,1,22.99,1997-09-01
149,40,1997-10-25,2,25.98,1997-10-01
150,40,1997-12-13,1,16.99,1997-12-01
151,40,1997-12-14,4,54.96,1997-12-01
152,40,1998-02-15,1,12.58,1998-02-01
153,40,1998-02-15,1,2.99,1998-02-01
154,40,1998-02-25,3,36.34,1998-02-01
155,40,1998-03-08,1,14.42,1998-03-01
156,41,1997-01-01,1,17.99,1997-01-01
157,42,1997-01-01,3,26.55,1997-01-01
158,42,1997-01-02,1,11.77,1997-01-01
159,43,1997-01-01,2,29.33,1997-01-01
160,43,1997-02-16,2,25.74,1997-02-01
161,43,1997-03-01,1,10.77,1997-03-01
162,43,1997-11-28,1,36.99,1997-11-01
163,43,1998-05-24,1,14.49,1998-05-01
164,44,1997-01-01,2,30.32,1997-01-01
165,44,1997-01-04,1,14.37,1997-01-01
166,44,1997-06-19,1,14.96,1997-06-01
167,45,1997-01-01,1,14.37,1997-01-01
168,46,1997-01-01,3,41.53,1997-01-01
169,46,1997-01-25,4,60.11,1997-01-01
170,46,1997-03-16,3,45.09,1997-03-01
171,46,1997-08-09,4,58.07,1997-08-01
172,46,1997-08-24,4,57.11,1997-08-01
173,46,1997-10-02,2,26.98,1997-10-01
174,46,1997-11-12,2,26.98,1997-11-01
175,47,1997-01-01,3,37.91,1997-01-01
176,47,1997-01-05,2,25.74,1997-01-01
177,47,1997-01-26,3,44.97,1997-01-01
178,47,1997-02-16,1,15.37,1997-02-01
179,47,1997-02-23,2,30.92,1997-02-01
180,47,1997-03-09,1,17.96,1997-03-01
181,47,1997-03-09,1,4.79,1997-03-01
182,47,1997-03-16,2,27.94,1997-03-01
183,47,1997-04-06,1,13.97,1997-04-01
184,47,1997-04-07,1,14.79,1997-04-01
185,47,1997-04-19,1,19.97,1997-04-01
186,47,1997-04-23,1,41.77,1997-04-01
187,47,1997-06-15,1,19.99,1997-06-01
188,47,1997-06-22,1,4.79,1997-06-01
189,47,1997-08-09,1,9.99,1997-08-01
190,47,1997-11-01,1,19.49,1997-11-01
191,47,1998-02-25,1,12.99,1998-02-01
192,47,1998-03-18,1,14.49,1998-03-01
193,47,1998-03-22,2,22.98,1998-03-01
194,47,1998-04-14,1,13.99,1998-04-01
195,47,1998-06-06,1,12.99,1998-06-01
196,48,1997-01-01,4,52.72,1997-01-01
197,48,1997-01-26,4,73.5,1997-01-01
198,48,1997-02-10,3,37.93,1997-02-01
199,48,1997-03-23,1,12.49,1997-03-01
200,48,1997-03-25,4,46.5,1997-03-01
201,48,1997-06-09,2,29.92,1997-06-01
202,48,1997-07-30,3,42.85,1997-07-01
203,48,1997-08-15,1,15.36,1997-08-01
204,48,1997-08-24,1,24.37,1997-08-01
205,48,1997-10-14,1,25.49,1997-10-01
206,48,1997-10-17,2,25.98,1997-10-01
207,48,1997-10-20,1,20.99,1997-10-01
208,48,1997-11-03,2,41.98,1997-11-01
209,48,1997-11-11,3,42.47,1997-11-01
210,48,1997-11-24,2,16.98,1997-11-01
211,48,1997-12-04,1,9.49,1997-12-01
212,48,1998-01-09,3,40.47,1998-01-01
213,48,1998-03-22,3,51.47,1998-03-01
214,48,1998-06-08,1,9.49,1998-06-01
215,48,1998-06-13,2,29.48,1998-06-01
216,49,1997-01-01,2,27.94,1997-01-01
217,50,1997-01-01,1,6.79,1997-01-01
218,51,1997-01-27,5,71.42,1997-01-01
219,51,1997-07-07,8,111.93,1997-07-01
220,51,1997-09-01,7,104.6,1997-09-01
221,51,1997-11-29,5,53.95,1997-11-01
222,51,1997-11-29,1,13.99,1997-11-01
