月份,每月消费的总人数,每月产生的总订单数,每月产生的总消费金额,人均订单数,人均金额
1997-01-01,19416,8928,299060.17,2.174731182795699,33.49688284050179
1997-02-01,24921,11272,379590.03,2.210876508161817,33.675481724627396
1997-03-01,26159,11598,393155.27,2.2554750819106744,33.89854026556303
1997-04-01,9729,3781,142824.49,2.573128801904258,37.77426342237503
1997-05-01,7275,2895,107933.3,2.5129533678756477,37.2826597582038
1997-06-01,7301,3054,108395.87,2.3906352324819906,35.49308120497708
1997-07-01,8131,2942,122078.88,2.763766145479266,41.49520054384772
1997-08-01,5851,2320,88367.69,2.5219827586206898,38.08952155172414
1997-09-01,5729,2296,81948.8,2.4952090592334493,35.691986062717774
1997-10-01,6203,2562,89780.77,2.4211553473848557,35.043235753317724
1997-11-01,7812,2750,115448.64,2.8407272727272725,41.98132363636363
1997-12-01,6418,2504,95577.35,2.563099041533546,38.169868210862624
1998-01-01,5278,2032,76756.78,2.59744094488189,37.774005905511814
1998-02-01,5340,2026,77096.96,2.63573543928924,38.05378084896348
1998-03-01,7431,2793,108970.15,2.6605800214822772,39.01544933762979
1998-04-01,4697,1878,66231.52,2.5010649627263044,35.26705005324814
1998-05-01,4903,1985,70989.66,2.4700251889168765,35.76305289672544
1998-06-01,5287,2043,76109.3,2.587860988742046,37.25369554576603
