用户,1997-01-01,1997-02-01,1997-03-01,1997-04-01,1997-05-01,1997-06-01,1997-07-01,1997-08-01,1997-09-01,1997-10-01,1997-11-01,1997-12-01,1998-01-01,1998-02-01,1998-03-01,1998-04-01,1998-05-01,1998-06-01
1,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,引入期,引入期,成长期,成熟期,休眠期,流失期,0,0,0,0,休眠期,流失期,0,0,0,0,休眠期,流失期
4,引入期,引入期,0,0,0,0,0,休眠期,流失期,0,0,休眠期,流失期,0,0,0,0,0
5,引入期,成长期,流失期,活跃,成熟期,成熟期,成熟期,休眠期,成熟期,休眠期,流失期,活跃,成熟期,休眠期,流失期,0,0,0
6,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,引入期,引入期,0,0,0,0,0,0,0,休眠期,流失期,0,0,0,休眠期,流失期,0,0
8,引入期,成长期,流失期,0,0,休眠期,成熟期,流失期,0,0,休眠期,成熟期,流失期,0,休眠期,流失期,0,0
9,引入期,引入期,0,0,休眠期,流失期,0,0,0,0,0,0,0,0,0,0,0,休眠期
10,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,引入期,引入期,成长期,流失期,0,0,0,0,0,0,0,0,0,休眠期,流失期,0,0,0
12,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,引入期,引入期,0,0,0,0,休眠期,流失期,活跃,流失期,0,0,0,0,0,0,0,0
17,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,引入期,引入期,0,0,0,休眠期,流失期,0,0,0,0,0,0,0,0,0,0,0
