用户,F,R,M,用户类型
1,0,1,0,一般发展客户
2,0,1,0,一般发展客户
3,1,0,1,重要保持客户
4,0,0,0,一般挽留客户
5,1,0,1,重要保持客户
6,0,1,0,一般发展客户
7,1,0,1,重要保持客户
8,1,0,1,重要保持客户
9,0,0,0,一般挽留客户
10,0,1,0,一般发展客户
11,0,0,0,一般挽留客户
12,0,1,0,一般发展客户
13,0,1,0,一般发展客户
14,0,1,0,一般发展客户
15,0,1,0,一般发展客户
16,1,0,0,一般保持客户
17,0,1,0,一般发展客户
18,0,1,0,一般发展客户
19,1,1,1,重要价值客户
20,1,1,1,重要价值客户
21,0,1,0,一般发展客户
22,0,1,0,一般发展客户
23,0,1,0,一般发展客户
24,0,0,0,一般挽留客户
25,1,0,1,重要保持客户
26,0,1,0,一般发展客户
27,1,1,1,重要价值客户
28,0,1,0,一般发展客户
29,1,0,1,重要保持客户
30,0,1,0,一般发展客户
31,1,0,1,重要保持客户
32,0,0,0,一般挽留客户
33,1,0,1,重要保持客户
34,0,1,0,一般发展客户
35,0,0,0,一般挽留客户
36,0,1,0,一般发展客户
37,1,0,1,重要保持客户
38,0,1,0,一般发展客户
39,1,0,1,重要保持客户
40,1,0,1,重要保持客户
41,0,1,0,一般发展客户
42,0,1,0,一般发展客户
43,0,0,1,重要挽留客户
44,0,1,0,一般发展客户
45,0,1,0,一般发展客户
46,1,0,1,重要保持客户
47,1,0,1,重要保持客户
48,1,0,1,重要保持客户
49,0,1,0,一般发展客户
50,0,1,0,一般发展客户
51,1,0,1,重要保持客户
52,1,0,1,重要保持客户
53,0,0,0,一般挽留客户
54,0,1,0,一般发展客户
55,0,1,0,一般发展客户
56,1,0,1,重要保持客户
57,0,1,0,一般发展客户
58,0,1,0,一般发展客户
59,0,1,0,一般发展客户
60,0,1,0,一般发展客户
61,1,1,1,重要价值客户
62,1,0,1,重要保持客户
63,1,0,1,重要保持客户
64,1,0,1,重要保持客户
65,0,0,0,一般挽留客户
66,0,1,0,一般发展客户
67,0,1,0,一般发展客户
68,0,1,0,一般发展客户
69,1,1,1,重要价值客户
70,0,1,0,一般发展客户
71,0,1,0,一般发展客户
72,0,1,0,一般发展客户
73,0,1,0,一般发展客户
74,0,1,0,一般发展客户
75,0,1,0,一般发展客户
76,0,1,0,一般发展客户
77,0,1,0,一般发展客户
78,0,0,0,一般挽留客户
79,0,1,0,一般发展客户
80,0,1,0,一般发展客户
81,1,0,1,重要保持客户
82,1,0,1,重要保持客户
83,1,0,0,一般保持客户
84,0,1,0,一般发展客户
85,0,1,0,一般发展客户
86,0,1,0,一般发展客户
87,1,0,1,重要保持客户
88,0,0,0,一般挽留客户
89,1,0,1,重要保持客户
90,0,1,0,一般发展客户
91,0,1,0,一般发展客户
92,0,1,0,一般发展客户
93,1,1,1,重要价值客户
94,0,1,0,一般发展客户
95,1,0,1,重要保持客户
96,1,0,1,重要保持客户
97,1,0,1,重要保持客户
98,0,1,0,一般发展客户
99,1,0,1,重要保持客户
100,0,0,0,一般挽留客户
101,0,1,0,一般发展客户
102,0,0,1,重要挽留客户
103,1,0,1,重要保持客户
104,0,1,0,一般发展客户
105,0,1,0,一般发展客户
106,1,0,1,重要保持客户
107,0,1,0,一般发展客户
108,0,1,0,一般发展客户
109,1,1,1,重要价值客户
110,0,1,0,一般发展客户
111,1,0,1,重要保持客户
112,0,1,0,一般发展客户
113,0,0,0,一般挽留客户
114,0,0,1,重要挽留客户
115,0,1,0,一般发展客户
116,0,1,0,一般发展客户
117,0,0,0,一般挽留客户
118,0,1,0,一般发展客户
119,0,1,0,一般发展客户
120,0,0,0,一般挽留客户
121,0,1,0,一般发展客户
122,0,1,0,一般发展客户
123,0,1,0,一般发展客户
124,1,0,1,重要保持客户
125,1,0,1,重要保持客户
126,0,0,1,重要挽留客户
127,0,1,0,一般发展客户
128,0,0,0,一般挽留客户
129,0,1,0,一般发展客户
130,1,0,1,重要保持客户
131,0,1,0,一般发展客户
132,1,0,1,重要保持客户
133,1,0,1,重要保持客户
134,0,0,0,一般挽留客户
135,0,1,0,一般发展客户
136,0,0,0,一般挽留客户
137,0,1,0,一般发展客户
138,0,1,0,一般发展客户
139,0,1,0,一般发展客户
140,0,1,0,一般发展客户
141,1,0,1,重要保持客户
142,0,0,1,重要挽留客户
143,0,1,0,一般发展客户
144,0,1,0,一般发展客户
145,1,0,1,重要保持客户
146,0,1,0,一般发展客户
147,1,0,1,重要保持客户
148,1,0,1,重要保持客户
149,1,1,1,重要价值客户
150,0,1,0,一般发展客户
151,0,1,0,一般发展客户
152,1,0,1,重要保持客户
153,0,1,0,一般发展客户
154,0,0,0,一般挽留客户
155,0,1,0,一般发展客户
156,0,1,0,一般发展客户
157,0,1,0,一般发展客户
158,0,1,0,一般发展客户
159,0,1,0,一般发展客户
160,0,1,0,一般发展客户
161,1,0,1,重要保持客户
162,0,1,1,重要发展客户
163,0,1,0,一般发展客户
164,1,0,1,重要保持客户
165,0,0,0,一般挽留客户
166,1,0,1,重要保持客户
167,1,0,1,重要保持客户
168,0,1,0,一般发展客户
169,0,1,0,一般发展客户
170,0,0,0,一般挽留客户
171,0,1,0,一般发展客户
172,0,1,0,一般发展客户
173,0,0,0,一般挽留客户
174,0,1,0,一般发展客户
175,0,1,0,一般发展客户
176,0,1,0,一般发展客户
177,1,0,1,重要保持客户
178,0,1,0,一般发展客户
179,1,0,1,重要保持客户
180,0,0,0,一般挽留客户
181,0,1,0,一般发展客户
182,0,0,0,一般挽留客户
183,0,1,0,一般发展客户
184,0,0,0,一般挽留客户
185,1,0,1,重要保持客户
186,0,0,0,一般挽留客户
187,0,1,0,一般发展客户
188,0,1,0,一般发展客户
189,1,1,1,重要价值客户
190,0,1,0,一般发展客户
191,0,1,0,一般发展客户
192,1,0,1,重要保持客户
193,0,1,0,一般发展客户
194,1,1,1,重要价值客户
195,1,0,1,重要保持客户
196,0,1,0,一般发展客户
197,0,1,0,一般发展客户
198,0,1,0,一般发展客户
199,0,1,0,一般发展客户
200,0,1,0,一般发展客户
201,0,0,0,一般挽留客户
202,1,1,1,重要价值客户
203,0,0,0,一般挽留客户
204,0,1,0,一般发展客户
205,0,0,0,一般挽留客户
206,0,1,0,一般发展客户
207,0,0,0,一般挽留客户
208,1,0,1,重要保持客户
209,0,1,1,重要发展客户
210,0,0,0,一般挽留客户
211,0,1,0,一般发展客户
212,0,1,0,一般发展客户
213,0,1,0,一般发展客户
214,1,0,1,重要保持客户
215,0,1,0,一般发展客户
216,0,1,0,一般发展客户
217,1,0,1,重要保持客户
218,0,1,0,一般发展客户
219,0,1,0,一般发展客户
220,0,1,0,一般发展客户
